ES_ID,StudyID,Title,Authors,Year,DOI,Biodiv_ES,Biodiv_ESType,Biodiv_measure,Biodiv_sample_size,Biodiv_CI_lower,Biodiv_CI_upper,Taxonomic_group,Management_grouped,SE,SD,ConfidenceInterval
ES001,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,-1.253852031,HedgesD,Ab,221,N,N,invertebrates,diversification,0.202313007,,95% confidence interval
ES002,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,-1.42,HedgesD,Ab,100,-2.09,-0.84,invertebrates,diversification,,,95% confidence interval
ES003,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,-1.3,HedgesD,Ab,43,-1.87,-0.82,invertebrates,diversification,,,95% confidence interval
ES004,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,-2.43,HedgesD,Ab,23,-4.07,-0.99,invertebrates,diversification,,,95% confidence interval
ES005,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,-0.49,HedgesD,Ab,8,-1.16,0.03,invertebrates,diversification,,,95% confidence interval
ES006,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,-0.86,HedgesD,Ab,29,-2.01,0.03,invertebrates,diversification,,,95% confidence interval
ES007,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,0.01,HedgesD,Ab,17,-0.12,0.13,invertebrates,diversification,,,95% confidence interval
ES008,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,1.375018163,HedgesD,Ab,148,N,N,invertebrates,diversification,0.254764527,,95% confidence interval
ES009,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,2.26,HedgesD,Ab,49,0.86,3.8,invertebrates,diversification,,,95% confidence interval
ES010,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,0.04,HedgesD,Ab,17,-0.19,0.31,invertebrates,diversification,,,95% confidence interval
ES011,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,1.85,HedgesD,Ab,4,-0.21,3.91,invertebrates,diversification,,,95% confidence interval
ES012,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,1.3,HedgesD,Ab,30,0.93,1.73,invertebrates,diversification,,,95% confidence interval
ES013,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,0.43,HedgesD,Ab,17,0.04,0.82,invertebrates,diversification,,,95% confidence interval
ES014,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,1.23,HedgesD,Ab,19,0.21,2.84,invertebrates,diversification,,,95% confidence interval
ES015,FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,0.95,HedgesD,Ab,12,0.52,1.42,invertebrates,diversification,,,95% confidence interval
ES016,FEB23_06,Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis,DeMalachetal2017,2017,http://dx.doi.org/10.1111/geb.12603,1.170682731,LRR,SR,41,N,N,all,nutrient addition(water),0.032784198,,95% confidence interval
ES017,FEB23_06,Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis,DeMalachetal2017,2017,http://dx.doi.org/10.1111/geb.12603,1.206827309,LRR,SR,19,N,N,all,nutrient addition(water),0.036882223,,95% confidence interval
ES018,FEB23_06,Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis,DeMalachetal2017,2017,http://dx.doi.org/10.1111/geb.12603,0.897590361,LRR,SR,17,N,N,all,nutrient addition(nitrogen),0.049176297,,95% confidence interval
ES019,FEB23_06,Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis,DeMalachetal2017,2017,http://dx.doi.org/10.1111/geb.12603,0.949799197,LRR,SR,19,N,N,all,nutrient addition(water+nitrogen),0.067617408,,95% confidence interval
ES020,FEB23_07,Mowing and warming effects on grassland species richness and harvested biomass: meta-analyses,Pisedduetal2021,2021,http://dx.doi.org/10.1007/s13593-021-00722-y,0.28,LRR,SR,46,0.19,0.37,all,vegetation removal,,,95% confidence interval
ES021,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-8.756476684,Percentage change,SR,292,N,N,all,intensification,2.696415354,,95% confidence interval
ES022,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-1.295336788,Percentage change,SR,16,N,N,all,intensification,3.489478693,,95% confidence interval
ES023,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-8.134715026,Percentage change,SR,70,N,N,all,intensification,3.013640689,,95% confidence interval
ES024,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-12.48704663,Percentage change,SR,31,N,N,all,intensification,6.66173205,,95% confidence interval
ES025,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-23.05699482,Percentage change,SR,29,N,N,all,intensification,2.537802686,,95% confidence interval
ES026,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-6.580310881,Percentage change,SR,81,N,N,all,intensification,3.013640689,,95% confidence interval
ES027,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-6.580310881,Percentage change,SR,65,N,N,all,intensification,3.013640689,,95% confidence interval
ES028,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-1.256281407,Percentage change,SR,147,N,N,all,intensification,3.538098657,,95% confidence interval
ES029,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,0.552763819,Percentage change,SR,92,N,N,plants,intensification,5.07640242,,95% confidence interval
ES030,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-7.286432161,Percentage change,SR,26,N,N,invertebrates,intensification,7.845349195,,95% confidence interval
ES031,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-0.351758794,Percentage change,SR,29,N,N,vertebrates,intensification,7.230027689,,95% confidence interval
ES032,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-20.85427136,Percentage change,SR,59,N,N,plants,intensification,4.153420162,,95% confidence interval
ES033,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-37.73869347,Percentage change,SR,26,N,N,plants,intensification,4.768741668,,95% confidence interval
ES034,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-0.653266332,Percentage change,SR,19,N,N,invertebrates,intensification,8.614501077,,95% confidence interval
ES035,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-10.90452261,Percentage change,SR,14,N,N,vertebrates,intensification,9.229822582,,95% confidence interval
ES036,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-12.11055276,Percentage change,SR,86,N,N,plants,intensification,4.461080915,,95% confidence interval
ES037,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-11.80904523,Percentage change,SR,63,N,N,plants,intensification,5.537893549,,95% confidence interval
ES038,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-15.72864322,Percentage change,SR,9,N,N,invertebrates,intensification,10.61429597,,95% confidence interval
ES039,FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,-13.61809045,Percentage change,SR,14,N,N,vertebrates,intensification,17.38283253,,95% confidence interval
