ID,Title,Authors,Year,DOI,Number of primary studies,Publication bias,Geographic region,Management practice raw,Organismal group
FEB23_02,Does plant diversity benefit agroecosystems? A synthetic review,Letourneauetal2011,2011,http://dx.doi.org/10.1890/09-2026.1,45,N,All,Plant diversity,Herbivores-Natural enemies
FEB23_06,Contrasting effects of water and nutrient additions on grassland communities: A global meta-analysis,DeMalachetal2017,2017,http://dx.doi.org/10.1111/geb.12603,33,N,All,Water-Nutrient additions,All
FEB23_07,Mowing and warming effects on grassland species richness and harvested biomass: meta-analyses,Pisedduetal2021,2021,http://dx.doi.org/10.1007/s13593-021-00722-y,33,N,All,Mowing-Warming,All
FEB23_10,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Beckmannetal2019,2019,http://dx.doi.org/10.1111/gcb.14606,115,NA,All,Intensification,All
FEB23_132,"Global negative effects of nutrient enrichment on arbuscular mycorrhizal fungi, plant diversity and ecosystem multifunctionality",Maetal2027,2027,http://dx.doi.org/10.1111/nph.17084,135,N,All,Nutrient addition,Fungi-Plants
FEB23_146,The effects of thinning and burning on understory vegetation in North America: A meta-analysis,Willmsetal2017,2017,http://dx.doi.org/10.1016/j.foreco.2017.03.010,32,N,North America,Thinning-Burning,Plants
FEB23_193,"Effect of forest stand management on species composition, structural diversity, and productivity in the temperate zone of Europe",Dieleretal2017,2017,http://dx.doi.org/10.1007/s10342-017-1056-1,49,NA,Europe,Forest stand management,All
FEB23_224,Cocoa agroforestry systems versus monocultures: a multi-dimensional meta-analysis,Nietheretal2020,2020,http://dx.doi.org/10.1088/1748-9326/abb053,52,NA,All,Agroforestry vs monocultures,All
FEB23_226,Vegetation responses and trade-offs with soil-related ecosystem services after shrub removal: A meta-analysis,Daryantoetal2019,2019,http://dx.doi.org/10.1002/ldr.3310,110,NA,All,Shrub removal,Plants
FEB23_242,Cumulative nitrogen input drives species loss in terrestrial ecosystems,DeSchrijveretal2011,2011,http://dx.doi.org/10.1111/j.1466-8238.2011.00652.x,52,NA,All,Nitrogen addition,All
FEB23_303,A systematic review of elephant impact across Africa,Guldemondetal2017,2017,http://dx.doi.org/10.1371/journal.pone.0178935,51,NA,Africa,Elephants,All
FEB23_307,Edaphoclimatic drivers of the effect of extensive vegetation management on ecosystem services and biodiversity in vineyards,Chapela-Olivaetal2022,2022,http://dx.doi.org/10.1016/j.agee.2022.108115,71,NA,All,understory vegetation,All
FEB23_311,Effects of Different Grazing Disturbances on the Plant Diversity and Ecological Functions of Alpine Grassland Ecosystem on the Qinghai-Tibetan Plateau,Lietal2021,2021,http://dx.doi.org/10.3389/fpls.2021.765070,70,Y,Tibet,Grazing,All
FEB23_385,Landscape context affects the sustainability of organic farming systems,Smithetal2020,2020,http://dx.doi.org/10.1073/pnas.1906909117,148,NA,All,organic farming,All
FEB23_570,"Impacts of nitrogen addition on plant biodiversity in mountain grasslands depend on dose, application duration and climate: a systematic review",Humbertetal2015,2015,http://dx.doi.org/10.1111/gcb.12986,42,Y,All,Nitrogen addition,Plants
FEB23_577,How does grazing exclusion influence plant productivity and community structure in alpine grasslands of the Qinghai-Tibetan Plateau?,Liuetal2021,2021,http://dx.doi.org/10.1016/j.gecco.2020.e01067,116,NA,Tibet,Grazing,All
FEB23_597,Effects of nutrient addition on degraded alpine grasslands of the Qinghai-Tibetan Plateau: A meta-analysis,Wangetal2020,2020,http://dx.doi.org/10.1016/j.agee.2020.106970,145,Y,Tibet,Nutrient addition,Plants
FEB23_80,"Ecological, biophysical and production effects of incorporating rest into grazing regimes: A global meta-analysis",McDonaldetal2019,2019,http://dx.doi.org/10.1111/1365-2664.13496,176,Y,All,Grazing,Plants
FEB23_81,Do European agroforestry systems enhance biodiversity and ecosystem services? A meta-analysis,Torralbaetal2016,2016,https://doi.org/10.1016/j.agee.2016.06.002,53,N,Europe,Agroforestry,All
FEB23_95,Revegetation of degraded ecosystems into grasslands using biosolids as an organic amendment: A meta-analysis,Plougheetal2020,2020,http://dx.doi.org/10.1111/avsc.12558,59,NA,All,Biosolids,Plants
JB005,Effects of agricultural management practices on soil quality: A review of long-term experiments for Europe and China,Baietal2018,2018,10.1016/j.agee.2018.05.028,153,NA,Europe-China,Various,Earthworms
JB073,Do polycultures promote win-wins or trade-offs in agricultural ecosystem services? A meta-analysis,Iversonetal2014,2014,10.1111/1365-2664.12334,26,N,All,polycultures,Biocontrol species
JB081,Biodiversity and yield under different land-use types in orchard/vineyard landscapes: A meta-analysis,Katayamaetal2019,2019,10.1016/j.biocon.2018.11.020,162,Y,All,conventional-integrated-organic-abandoned,All
JB152,Can agroforestry systems enhance biodiversity and ecosystem service provision in agricultural landscapes? A meta-analysis for the Brazilian Atlantic Forest,Santosetal2019,2019,10.1016/j.foreco.2018.10.064,72,NA,Brazil,agroforestry systems,All
JB158,"Organic amendments enhance soil microbial diversity, microbial functionality and crop yields: A meta-analysis",Shuetal2022,2022,10.1016/j.scitotenv.2022.154627,219,NA,All,organic amendments,Microbial
